Grüne Apotheke ;Kniprodestraße;1;26388;Wilhelmshaven;;
Kaiser Apotheke ;Hamburg-Amerika-Straße;1;27472;Cuxhaven;;
Mühlen-Apotheke Völlenerfehn;Breslauer Straße;1;26810;Westoverledingen;;
Alte Privilegierte Apotheke ;Poststraße;1;27576;Bremerhaven;;
Apotheke  Greetsiel ;Ankerstraße;1;26736;Krummhörn;;
Apotheke am Klinikum Links der Weser;Senator-Weßling-Straße;1;28277;Bremen;;
Asna  Apotheke ;Iburger Straße;1;49074;Osnabrück;;
Markt-Apotheke ;Markt;1;48488;Emsbüren;;
Hirsch Apotheke ;Staustraße;1;26122;Oldenburg;;
Marien Apotheke OHG ;Marienstraße;1;26121;Oldenburg;;
Marien Apotheke ;Osnabrücker Straße;1;48529;Nordhorn;;
easyApotheke Vechta ;Falkenweg;1;49377;Vechta;;
Burg Apotheke Dr. Hans-Joachim Rüve;Osterstraße;1;49661;Cloppenburg;;
Marien Apotheke ;Meppener Straße;1;49744;Geeste;;
Gänsemarkt Apotheke ;Gänsemarkt;1;32312;Lübbecke;;
Stern Apotheke ;Langestraße;1;32312;Lübbecke;;
Berg Apotheke ;Altstadtparkplatz;1;49545;Tecklenburg;;
Linden Apotheke ;Bahnhofstraße;1;49699;Lindern (Oldenburg);;
Nibelungen  Apotheke Markus Jostwerth;Schulstraße;1;49170;Hagen;;
Schloss Apotheke Frau Ngoc Anh Voong ;Apostelstraße;1;49082;Osnabrück;;
Flora Apotheke ;Lothar-Schoeller-Straße;1;49086;Osnabrück;;
Markt-Apotheke ;Westerstraße;1;27793;Wildeshausen;;
Zumloh'sche Apotheke ;Bahnhofstraße;1;49434;Neuenkirchen-Vörden;;
Gesundbrunnen-Apotheke ;Friedrichstraße;1;48282;Emsdetten;;
Uhlen Apotheke ;Wilhelmshavener Heerstraße;1;26125;Oldenburg;;
Mühlenhof Apotheke ;Clausewitzstraße;1;26125;Oldenburg;;
Wall Apotheke im Kaufland ;Am Neuen Markt;1;49716;Meppen;;
Falken Apotheke ;Marktring;1;49191;Belm;;
Falken Apotheke ;Bodelschwinghstraße;1;49525;Lengerich;;
Alte-Markt Apotheke ;Am Markt;1;49808;Lingen (Ems);;
Einhorn Apotheke Leeden;Rosenstraße;1;49545;Tecklenburg;;
Johannis  Apotheke Engter;Wallenhorster Straße;1;49565;Bramsche;;
Wiesen-Apotheke ;Heideeck;1;49143;Bissendorf;;
Malteser Apotheke ;Kurt-Schumacher-Damm;1;49078;Osnabrück;;
Titus Apotheke ;Kirchstraße;1;49688;Lastrup;;
Apotheke Am Postdamm ;Postdamm;1;48527;Nordhorn;;
Westfalen Apotheke ;Berliner Platz;1;49504;Lotte;;
Apotheke Am Oberen Markt ;Oberer Markt;1;49477;Ibbenbüren;;
Neumarkt Apotheke ;Öwer de Hase;1;49074;Osnabrück;;
Vital Apotheke Zur Alten Post ;Marktstraße;1;32369;Rahden;;
Schultzes Apotheke Lavelsloh ;Kirchstraße;1;31603;Diepenau;;
Apotheke Lintorf ;Alte Poststraße;1;49152;Bad Essen;;
Apotheke im Marktkauf ;Hansastraße;1;49477;Ibbenbüren;;
Vital Apotheke im Gesundheitszentrum ;Hohe Mühle;1;32369;Rahden;;
Marien Apotheke ;Webermarkt;1;47647;Kerken;;
Flora Apotheke ;Schillerstraße;1;46487;Wesel;;
Apotheke im Luchs Center  ;Luchsstraße;1;46149;Oberhausen ;;
Adler Apotheke ;Schüppenstraße;1;48653;Coesfeld;;
Hamaland Apotheke OHG ;Haaksbergener Straße;1;48683;Ahaus;;
Neue Markt Apotheke ;Gildekamp;1;46414;Rhede;;
Barbara-Apotheke ;Annastraße;1;47608;Geldern;;
Sertürner  Apotheke Inh. Daniela Wandenelis;Sertürnerstraße;1;46397;Bocholt;;
West Apotheke ;Thüringer Straße;1;46149;Oberhausen;;
Bären-Apotheke ;Südring-Center-Promenade;1;46242;Bottrop;;
Goethe Apotheke OHG ;Goethestraße;1;47441;Moers;;
Cuypers Apotheke Antwerpener Platz ;Antwerpener Platz;1;47623;Kevelaer;;
Alte Stadt Apotheke ;Bahnhofstraße;1;48607;Ochtrup;;
Malteser-Apotheke ;Wettringer Straße;1;48629;Metelen;;
Apotheke Am Bahnhof  ;Augustin Wibbelt Platz;1;48734;Reken;;
Markt-Apotheke ;Vienkenstraße;1;46240;Bottrop;;
Dr. Kuhns Apotheke ;Lambertistraße;1;45964;Gladbeck;;
Apotheke am Alten Markt Wattenscheid;Weststraße;1;44866;Bochum;;
Gertrudis Apotheke ;Alter Markt;1;44866;Bochum;;
Davert-Apotheke e.K. Inh. Michael Klaes;Auf der Woort;1;48163;Münster;;
Ludgerus Apotheke ;Amtmann-Daniel-Straße;1;48356;Nordwalde;;
Flora Apotheke ;Hittorfstraße;1;48149;Münster;;
Convita Apotheke am EVK Eikel ;Hordeler Straße;1;44651;Herne;;
City Apotheke ;Holzmarkt;1;45657;Recklinghausen;;
Sebastian-Apotheke Nienberge;Sebastianstraße;1;48161;Münster;;
Ahorn-Apotheke Hüllerheide;Blitzkuhlenstraße;1;45659;Recklinghausen;;
Rathaus-Apotheke ;Bahnhofstraße;1;48356;Nordwalde;;
Nord Apotheke ;Hoyastraße;1;48147;Münster;;
Sonnen Apotheke ;Marktstraße;1;48249;Dülmen;;
Franziskus Apotheke ;Grevener Landstraße;1;48268;Greven;;
Aesculap-Apotheke ;Vogelheimer Straße;1;45326;Essen;;
Buer`sche Falken Apotheke ;Hochstraße;1;45894;Gelsenkirchen;;
Rosen Apotheke ;Wedauer Markt;1;47279;Duisburg;;
Engel Apotheke ;Uerdinger Straße;1;47799;Krefeld;;
Lenau Apotheke ;Lenaustraße;1;40470;Düsseldorf;;
Apotheke  Am Sprödental ;Roonstraße;1;47799;Krefeld;;
Franziskus Apotheke ;Eugen-Richter-Straße;1;40470;Düsseldorf;;
Münster Apotheke Derendorf;Ulmenstraße;1;40476;Düsseldorf;;
Pelikan Apotheke  ;Stormstraße;1;47226;Duisburg;;
Kuchler Apotheke im Hauptbahnhof Kuchler Apotheken OHG;Portsmouthplatz;1;47051;Duisburg;;
Bären Apotheke ;Heintzmannstraße;1;45143;Essen;;
Kolumbus Apotheke ;Sunderplatz;1;45472;Mülheim an der Ruhr;;
Ring Apotheke ;Ostring;1;40882;Ratingen;;
West Apotheke ;Lise-Meitner-Straße;1;40878;Ratingen;;
Elefanten-Apotheke Osterath;Willicher Straße;1;40670;Meerbusch;;
Apotheke im Real Reyerhütte  ;Reyerhütte;1;41065;Mönchengladbach;;
Apotheke am Central ;Dahler Straße;1;42653;Solingen;;
Schwanen Apotheke ;Ufergarten;1;42651;Solingen;;
Pegasus Apotheke ;Mailänder Passage;1;50765;Köln;;
Blüten Apotheke ;Wuppertalstraße;1;51381;Leverkusen;;
Galerie Apotheke ;Galerieplatz;1;40764;Langenfeld (Rheinland);;
Apotheke am HIT ;Lübecker Straße;1;41540;Dormagen;;
Biber Apotheke in den Clemens Galerien;Mühlenplatz;1;42651;Solingen;;
Marien Apotheke Frau Sarah Bast ;Alarichstraße;1;50679;Köln;;
Linden Apotheke ;Zum Markt;1;53894;Mechernich;;
Ahorn-Apotheke ;Pützdelle;1;51371;Leverkusen;;
Nibelungen Apotheke ;Kriemhildenstraße;1;42653;Solingen;;
Unnersberg Apotheke ;Unnersberger Allee;1;42659;Solingen;;
Bavier Apotheke ;Bavierstraße;1;40699;Erkrath;;
Mathildenhof Apotheke ;Schöneberger Straße;1;51377;Leverkusen;;
Kranich Apotheke Neubrück;Thomas-Dehler-Weg;1;51109;Köln;;
Holthausener Apotheke ;Henkelstraße;1;40589;Düsseldorf;;
Overstolz Apotheke ;Sachsenring;1;50677;Köln;;
Fleming Apotheke Holthausen;Hügelstraße;1;40589;Düsseldorf;;
Apotheke An der Schanz ;An der Schanz;1;50735;Köln;;
Marien Apotheke Flittard;Rungestraße;1;51061;Köln;;
Engel Apotheke Ostheim;Auf der Driesch;1;51107;Köln;;
Markt  Apotheke ;Ruhrstraße;1;41540;Dormagen;;
Humboldt Apotheke Humboldt-Gremberg;Theoderichstraße;1;51105;Köln;;
Apotheke Sonnenschein ;Ziegelweg;1;53347;Alfter;;
Center Apotheke ;Anton Limbach Straße;1;53567;Asbach;;
Dom Apotheke ;Bahnhofsvorplatz;1;50667;Köln;;
Allee  Apotheke ;Baumschulallee;1;53115;Bonn;;
Burg Apotheke ;Kaiserstraße;1;53773;Hennef (Sieg);;
Ossendorfer Apotheke ;Vastersstraße;1;50825;Köln;;
Alexander-Fleming-Apotheke ;Sudermanstraße;1;50670;Köln;;
Stern Apotheke ;Lindenplatz;1;53359;Rheinbach;;
Süd-Apotheke ;Berck-Sur-Mer-Straße;1;53604;Bad Honnef;;
Hirsch Apotheke ;Theaterplatz;1;52062;Aachen;;
Nikolaus-Apotheke ;Kaiser-Otto-Straße;1;50259;Pulheim;;
Apotheke-In-Den-Bremen ;Humboldtstraße;1;52152;Simmerath;;
Frohnhof-Apotheke ;Frongasse;1;53913;Swisttal;;
Goethe Apotheke ;Goethestraße;1;50858;Köln;;
Cosmas Apotheke ;Wilhelm-Ewald-Weg;1;50769;Köln;;
farma plus Apothek unter der Burg;Steinweg;1;52222;Stolberg (Rhld.);;
Park Apotheke ;An der Fuhr;1;50997;Köln;;
Mauritius Apotheke ;Deutscher Platz;1;53919;Weilerswist;;
Herz-Apotheke ;Carlsplatz;1;52531;Übach-Palenberg;;
Bonifatius-Apotheke ;Drimbornshof;1;52249;Eschweiler;;
Markt Apotheke ;Neustraße;1;53879;Euskirchen;;
Elisenbrunnen Apotheke ;Kapuzinergraben;1;52062;Aachen;;
Marien Apotheke ;Marienstraße;1;52457;Aldenhoven;;
Ventalis Apotheke ;Urftsee Straße;1;53937;Schleiden;;
Eifel  Apotheke ;Bahnstraße;1;53949;Dahlem;;
Falken Apotheke ;Augustastraße;1;52070;Aachen;;
Markt  Apotheke Königsdorf;Paulistraße;1;50226;Frechen;;
Rathaus Apotheke ;Rathausstraße;1;50169;Kerpen;;
Alstedts Apotheke ;Von-Coels-Straße;1;52080;Aachen;;
Fidelis Apotheke ;Brünestraße;1;52531;Übach-Palenberg;;
Mohren Apotheke Inh. Herr Werth;Hauptstraße;1;50126;Bergheim;;
Bahnhof Apotheke ;Theodor-Heuss-Platz;1;41460;Neuss;;
Maxmo Apotheke im real  ;Am Rittergut;1;41515;Grevenbroich ;;
Behring Apotheke ;Behringstraße;1;41464;Neuss;;
Sonnen Apotheke Wiedemeyer u. Böhm OHG;Am Kuhlenhof;1;41352;Korschenbroich;;
Dom Apotheke ;Rathausstraße;1;52525;Heinsberg;;
Löwen Apotheke ;Wickrath-Beckrather Straße;1;41189;Mönchengladbach;;
Markt Apotheke ;Kuhstraße;1;47918;Tönisvorst;;
Bären Apotheke ;Krefelder Straße;1;47918;Tönisvorst;;
Apotheke Am Kuhtor ;Burgring;1;47906;Kempen;;
Apotheke Am Lessingplatz ;Lessingplatz;1;41469;Neuss;;
Burg Apotheke ;Südstraße;1;41469;Neuss;;
Adler-Apotheke Lövenich;Hauptstraße;1;41812;Erkelenz;;
