Apotheke an der Osdorfer Landstraße ;Osdorfer Landstraße 112;OsdorferLandstraße112;2;Osdorfer Landstraße♥112;20;Osdorfer Landstraße;112;22549;Hamburg;;
apo-rot Apotheke Bahrenfeld  ;Gasstraße 12;Gasstraße12;1;Gasstraße♥12;10;Gasstraße;12;22761;Hamburg ;;
Löns Apotheke im Facharztzentrum  ;Eitzer Straße 18;EitzerStraße18;2;Eitzer Straße♥18;14;Eitzer Straße;18;27283;Verden (Aller);;
Antares-Apotheke Hohe Weide      ;Hohe Weide 17b;HoheWeide17b;2;Hohe Weide♥17b;11;Hohe Weide;17b;20359   ;Hamburg                                           ;;
Reuter Apotheke ;Zwischen den Brücken 1;ZwischendenBrücken1;3;Zwischen den Brücken♥1;21;Zwischen den Brücken;1;21514;Büchen;;
Ahorn Apotheke                  ;Deichstraße 1;Deichstraße1;1;Deichstraße♥1;12;Deichstraße;1;21683     ;Stade                                             ;;
Wandels Apotheke Krummesse  ;Beidendorfer Weg 30;BeidendorferWeg30;2;Beidendorfer Weg♥30;17;Beidendorfer Weg;30;23628;Krummesse;;
Lorian Apotheke                 ;Veddeler Brückenstraße 111;VeddelerBrückenstraße111;2;Veddeler Brückenstraße♥111;23;Veddeler Brückenstraße;111;20539     ;Hamburg                                           ;;
Rathaus Apotheke  ;Ritter-Wulf-Platz 4;Ritter-Wulf-Platz4;1;Ritter-Wulf-Platz♥4;18;Ritter-Wulf-Platz;4;21493 ;Schwarzenbek;;
WeVital-Apotheke Harburg Herr Peter Weber ;Am Wall 1;AmWall1;2;Am Wall♥1;8;Am Wall;1;21073;Hamburg;;
Hecht Apotheke                  ;Hauptstraße 47;Hauptstraße47;1;Hauptstraße♥47;12;Hauptstraße;47;21266     ;Jesteburg                                         ;;
Apotheke am Markt ;Am Junkerhof 5;AmJunkerhof5;2;Am Junkerhof♥5;13;Am Junkerhof;5;29308;Winsen;;
Wümme-Apotheke Fischerhude ;Landstraße 22;Landstraße22;1;Landstraße♥22;11;Landstraße;22;28870;Ottersberg;;
Vitalis Apotheke ;Chemnitzer Straße 2b;ChemnitzerStraße2b;2;Chemnitzer Straße♥2b;18;Chemnitzer Straße;2b;30952;Ronnenberg ;;
Deister Apotheke Eimbeckhausen ;Hasselweg 6;Hasselweg6;1;Hasselweg♥6;10;Hasselweg;6;31848;Bad Münder am Deister;;
Mozart Apotheke ;Elkenbrederweg 2;Elkenbrederweg2;1;Elkenbrederweg♥2;15;Elkenbrederweg;2;32105;Bad Salzuflen;;
Apo. im Gesundheitszentrum       -;Bahnhofsallee 12;Bahnhofsallee12;1;Bahnhofsallee♥12;14;Bahnhofsallee;12;32839   ;Steinheim                                         ;;
Apotheke am Bienroder Weg ;Bienroder Weg 78/79;BienroderWeg78/79;2;Bienroder Weg♥78/79;14;Bienroder Weg;78/79;38106;Braunschweig;;
Apotheke Schöppenstedt Neue Straße  ;Neue Straße 1e;NeueStraße1e;2;Neue Straße♥1e;12;Neue Straße;1e;38170;Schöppenstedt ;;
Apotheke im Kauf Park ;Am Kauf Park 2;AmKaufPark2;3;Am Kauf Park♥2;13;Am Kauf Park;2;37079;Göttingen;;
Stadt-Apotheke ;Nordhäuserstraße 2;Nordhäuserstraße2;1;Nordhäuserstraße♥2;17;Nordhäuserstraße;2;37339;Worbis;;
Adler-Apotheke ;Schulgasse 7;Schulgasse7;1;Schulgasse♥7;11;Schulgasse;7;99955;Herbsleben;;
Apotheke Dr. Anschütz Grone  ;Salinenweg 1;Salinenweg1;1;Salinenweg♥1;11;Salinenweg;1;37081;Götttingen / Grone;;
Neue Apotheke Derne ;Altenderner Straße 20b;AltendernerStraße20b;2;Altenderner Straße♥20b;19;Altenderner Straße;20b;44329;Dortmund;;
Kleeblatt Apotheke im EKZ Widumer Platz e.K. ;Widumer Tor 1;WidumerTor1;2;Widumer Tor♥1;12;Widumer Tor;1;44575;Castrop-Rauxel ;;
Stephanus Apotheke  ;Hauptstraße 11;Hauptstraße11;1;Hauptstraße♥11;12;Hauptstraße;11;59379   ;Selm                                              ;;
Schiller Apotheke Raiffeisenstraße  ;Raiffeisenstraße 5;Raiffeisenstraße5;1;Raiffeisenstraße♥5;17;Raiffeisenstraße;5;58638;Iserlohn;;
AVIE Apotheke im Brandt-Quartier;Enneperstraße 140a;Enneperstraße140a;1;Enneperstraße♥140a;14;Enneperstraße;140a;58135     ;Hagen                                             ;;
Bußmanns Park-Apotheke ;Oststraße 17a;Oststraße17a;1;Oststraße♥17a;10;Oststraße;17a;59227;Ahlen;;
Sonnen Apotheke ;Freiheitsstraße 12;Freiheitsstraße12;1;Freiheitsstraße♥12;16;Freiheitsstraße;12;58119;Hagen;;
Hirsch Apotheke ;Derschlager Straße 1a;DerschlagerStraße1a;2;Derschlager Straße♥1a;19;Derschlager Straße;1a;58540;Meinerzhagen;;
Panda-Apotheke                  ;Hainstraße 15-17;Hainstraße15-17;1;Hainstraße♥15-17;11;Hainstraße;15-17;42109     ;Wuppertal                                         ;;
Fortuna Apotheke ;Barmer Straße 8a;BarmerStraße8a;2;Barmer Straße♥8a;14;Barmer Straße;8a;58332;Schwelm;;
Herz Apotheke am Siegbogen ;Weidenauer Straße 202;WeidenauerStraße202;2;Weidenauer Straße♥202;18;Weidenauer Straße;202;57076;Siegen;;
Brühl-Apotheke ;Im Brühl ;ImBrühl;2;Im Brühl♥;9;Im Brühl;;66649;Oberthal;;
Töpfer-Apotheke ;Mittelstraße 2;Mittelstraße2;1;Mittelstraße♥2;13;Mittelstraße;2;56203;Höhr-Grenzhausen;;
Neue Apotheke ;Luisenthalerstraße 2a;Luisenthalerstraße2a;1;Luisenthalerstraße♥2a;19;Luisenthalerstraße;2a;61184;Karben;;
Apotheke am Bahnhof ;Friedberger Straße 77b;FriedbergerStraße77b;2;Friedberger Straße♥77b;19;Friedberger Straße;77b;61118;Bad Vilbel ;;
Rathaus Apotheke ;Dorf-Güller-Straße 43;Dorf-Güller-Straße43;1;Dorf-Güller-Straße♥43;19;Dorf-Güller-Straße;43;35415;Pohlheim;;
Schiller-Apotheke ;Im Boden 1;ImBoden1;2;Im Boden♥1;9;Im Boden;1;35112;Fronhausen;;
Central Apotheke ;Bahnhofstraße 65;Bahnhofstraße65;1;Bahnhofstraße♥65;14;Bahnhofstraße;65;65479;Raunheim;;
Ebelfeld Apotheke ;Ludwig-Landmann-Straße 73;Ludwig-Landmann-Straße73;1;Ludwig-Landmann-Straße♥73;23;Ludwig-Landmann-Straße;73;60488;Frankfurt am Main;;
Easy Apotheke am Krifteler Markt  ;Kapellenstraße 48a;Kapellenstraße48a;1;Kapellenstraße♥48a;15;Kapellenstraße;48a;65830;Kriftel;;
Apotheke am Kreisel  ;Bischoff-Kaller-Straße 1a;Bischoff-Kaller-Straße1a;1;Bischoff-Kaller-Straße♥1a;23;Bischoff-Kaller-Straße;1a;61462;Königstein;;
Apotheke am Sanupark ;Frankfurter Straße94;FrankfurterStraße94;1;Frankfurter♥Straße94;12;Frankfurter;94;65239;Hochheim am Main ;;
"Apotheke am internationalen  Flughafen The Squaire"", Ebene 3""";Flughafen FFM Terminal1;FlughafenFFMTerminal1;2;Flughafen FFM♥Terminal1;14;Flughafen FFM;Terminal 1;60549;Frankfurt ;;
5K Universum Apotheke ;Theodor Stern Kai 7;TheodorSternKai7;3;Theodor Stern Kai♥7;18;Theodor Stern Kai;Haus 12;60596;Frankfurt am Main;;
Möwen Apotheke ;Lauterbacher Straße 1;LauterbacherStraße1;2;Lauterbacher Straße♥1;20;Lauterbacher Straße;1;36137;Großenlüder;;
Apotheke am Krankenhaus  ;Ofenthaler Weg 20;OfenthalerWeg20;2;Ofenthaler Weg♥20;15;Ofenthaler Weg;20;97762;Hammelburg;;
Apotheke am Schloßpark  ;Bezirks Straße 30;BezirksStraße30;2;Bezirks Straße♥30;15;Bezirks Straße;30;63755;Alzenau-Wasserlos ;;
Easy Apotheke Sulzbach  ;Quierschieder Weg 3d;QuierschiederWeg3d;2;Quierschieder Weg♥3d;18;Quierschieder Weg;3d;66280;Sulzbach ;;
Apotheke Am Kirchberg ;Langgasse 12;Langgasse12;1;Langgasse♥12;10;Langgasse;12;55299;Nackenheim;;
Rosen Apotheke Urexweiler;Im Brühl 1a;ImBrühl1a;2;Im Brühl♥1a;9;Im Brühl;1a;66646;Marpingen;;
Alsenz Apotheke ;Am Messeplatz ;AmMesseplatz;2;Am Messeplatz♥;14;Am Messeplatz;;67722;Winnweiler;;
Markt Apotheke ;Weiße Tor Straße 2;WeißeTorStraße2;3;Weiße Tor Straße♥2;17;Weiße Tor Straße;2;76661;Philippsburg;;
Stadt Apotheke ;Bei der Stadtmauer 1;BeiderStadtmauer1;3;Bei der Stadtmauer♥1;19;Bei der Stadtmauer;1;71723;Großbottwar;;
Engel Apotheke ;Heinrich-Fuchs-Straße 9;Heinrich-Fuchs-Straße9;1;Heinrich-Fuchs-Straße♥9;22;Heinrich-Fuchs-Straße;9;69126;Heidelberg;;
Hof Apotheke ;Schillerplatz 16;Schillerplatz16;1;Schillerplatz♥16;14;Schillerplatz;16;69198;Schriesheim;;
Linden Apotheke  Frau Karin Ramsauer e.K. ;Lindenweg 2;Lindenweg2;1;Lindenweg♥2;10;Lindenweg;2;69126 ;Heidelberg;;
Schlößle Apotheke Pächter: Jens Tonne e.K.;Westliche Karl-Friedrich-Straße 80;WestlicheKarl-Friedrich-Straße80;2;Westliche Karl-Friedrich-Straße♥80;32;Westliche Karl-Friedrich-Straße;80;75172;Pforzheim;;
Stadt Apotheke  ;Bahnhofstraße 5;Bahnhofstraße5;1;Bahnhofstraße♥5;14;Bahnhofstraße;5;72622;Nürtingen;;
Schurwald-Apotheke Hohengehren  ;Zollernstraße 4;Zollernstraße4;1;Zollernstraße♥4;14;Zollernstraße;4;73666     ;Baltmannsweiler                                   ;;
Hof Apotheke ;Marktplatz 4;Marktplatz4;1;Marktplatz♥4;11;Marktplatz;4;88709;Meersburg;;
Apotheke Zürn ;Hauptstraße 15;Hauptstraße15;1;Hauptstraße♥15;12;Hauptstraße;15;78658;Zimmern ob Rottweil;;
Blauen Apotheke  ;Freiburger Straße 15;FreiburgerStraße15;2;Freiburger Straße♥15;18;Freiburger Straße;15;79418;Schliengen ;;
Bergsee-Apotheke ;Bahnhofsplatz 1;Bahnhofsplatz1;1;Bahnhofsplatz♥1;14;Bahnhofsplatz;1;79713;Bad Säckingen;;
Pfalz Apotheke ;Im Giessenfeld 1;ImGiessenfeld1;2;Im Giessenfeld♥1;15;Im Giessenfeld;1;79588;Efringen-Kirchen;;
Thoma Apotheke ;Im Moos 1;ImMoos1;2;Im Moos♥1;8;Im Moos;1;79872;Bernau im Schwarzwald;;
Apotheke am Ebertplatz OHG  ;Ebertplatz 12a;Ebertplatz12a;1;Ebertplatz♥12a;11;Ebertplatz;12a;77654;Offenburg ;;
Marien  Apotheke ;Festungsstraße 1;Festungsstraße1;1;Festungsstraße♥1;15;Festungsstraße;1;77955;Ettenheim;;
Apotheke an der Diakonie         -;Wirthstraße 9;Wirthstraße9;1;Wirthstraße♥9;12;Wirthstraße;9;79110   ;Freiburg                                          ;;
Park-Apotheke ;Waldburgstraße 23;Waldburgstraße23;1;Waldburgstraße♥23;15;Waldburgstraße;23;70563;Stuttgart;;
Spitzweg Apotheke ;Weiherplatz 13;Weiherplatz13;1;Weiherplatz♥13;12;Weiherplatz;13;72186;Empfingen;;
Würmtal-Apotheke Merklingen Strittmatter OHG;Kirchplatz 5;Kirchplatz5;1;Kirchplatz♥5;11;Kirchplatz;5;71263;Weil der Stadt;;
Aischpark-Apotheke ;Kieferndorferweg 58b;Kieferndorferweg58b;1;Kieferndorferweg♥58b;17;Kieferndorferweg;58b;91315;Höchstadt;;
easy-Apotheke ;Georg-Mayr-Straße 15;Georg-Mayr-Straße15;1;Georg-Mayr-Straße♥15;18;Georg-Mayr-Straße;15;97828;Marktheidenfeld;;
Stern Apotheke ;Luitpoldstraße 13;Luitpoldstraße13;1;Luitpoldstraße♥13;15;Luitpoldstraße;13;97318;Kitzingen;;
Neue Rigi-Apotheke  ;Göppinger Straße 4;GöppingerStraße4;2;Göppinger Straße♥4;17;Göppinger Straße;4;73037 ;Göppingen-Holzheim ;;
Aesculap Apotheke  ;Waldstraße 36;Waldstraße36;1;Waldstraße♥36;11;Waldstraße;36;90763;Fürth;;
Kobold Apotheke ;Salvatorstraße 2;Salvatorstraße2;1;Salvatorstraße♥2;15;Salvatorstraße;2;96142;Hollfeld;;
Andreas  Apotheke ;Lichtenfelser Straße 2a;LichtenfelserStraße2a;2;Lichtenfelser Straße♥2a;21;Lichtenfelser Straße;2a;90427;Nürnberg;;
ABF Apotheke Gebhardtstraße  ;Gebhardtstraße 28;Gebhardtstraße28;1;Gebhardtstraße♥28;15;Gebhardtstraße;28;90762;Fürth;;
Franken Apotheke ;Kirchplatz 9;Kirchplatz9;1;Kirchplatz♥9;11;Kirchplatz;9;96114;Hirschaid;;
Apotheke im Westpark            ;Geiselhöringerstraße 63;Geiselhöringerstraße63;1;Geiselhöringerstraße♥63;21;Geiselhöringerstraße;63;94315     ;Straubing                                         ;;
Marien Apotheke OHG  ;Passauer Straße 69a;PassauerStraße69a;2;Passauer Straße♥69a;16;Passauer Straße;69a;94104;Tittling;;
Riem-Apotheke                   ;Luitpoldstraße 52;Luitpoldstraße52;1;Luitpoldstraße♥52;15;Luitpoldstraße;52;84034     ;Landshut                                          ;;
Innstadt Apotheke OHG  ;Kapuzinerstr, 2a;Kapuzinerstr,2a;1;Kapuzinerstr,♥2a;14;Kapuzinerstr,;2a;94032;Passau;;
Seemüller Apotheke im HEP ;Rosenheimer Straße 21;RosenheimerStraße21;2;Rosenheimer Straße♥21;19;Rosenheimer Straße;21;83607;Holzkirchen ;;
Apollo Apotheke ;Merktlerstraße 33;Merktlerstraße33;1;Merktlerstraße♥33;15;Merktlerstraße;33;84489;Burghausen;;
Sankt Leonhardts Apotheke ;Bahnhofstraße 27 c ;Bahnhofstraße27c;3;Bahnhofstraße 27 c♥;19;Bahnhofstraße 27 c;27c;85635;Höhenkirchen-Siegertbrunn;;
St.Margarethen Apotheke ;Alte Bräuhausgasse 1 ;AlteBräuhausgasse1;3;Alte Bräuhausgasse 1♥;21;Alte Bräuhausgasse 1;1;85570;Markt Schwaben;;
Internationale Hauptbahnhof Apotheke  Dr. K.-H. Kugler & M. Hillinger OHG;Bayerstraße 27 ;Bayerstraße27;2;Bayerstraße 27♥;15;Bayerstraße 27;27;80335;München;;
Bayertor Apotheke e.k Sarah Megele;Weilheimer Straße 9 ;WeilheimerStraße9;3;Weilheimer Straße 9♥;20;Weilheimer Straße 9;9;86899;Landsberg am Lech;;
Stadt Apotheke  ;Fuggerstraße 12 ;Fuggerstraße12;2;Fuggerstraße 12♥;16;Fuggerstraße 12;12;86830;Schwabmünchen ;;
KöWi Apotheke ;Königswieser Straße 5;KönigswieserStraße5;2;Königswieser Straße♥5;20;Königswieser Straße;5;81475;München;;
Drei Kugel Apotheke ;Gerberweg 6;Gerberweg6;1;Gerberweg♥6;10;Gerberweg;6;87541;Bad Hindelang;;
Linden-Apotheke ;Ahornweg 1;Ahornweg1;1;Ahornweg♥1;9;Ahornweg;1;82343;Pöcking;;
Kur Apotheke ;Füssener Straße 32;FüssenerStraße32;2;Füssener Straße♥32;16;Füssener Straße;32;87645;Schwangau;;
Apotheke im Gesundheitszentrum  ;Im Stillen 4  1/2;ImStillen41/2;4;Im Stillen 4 ♥1/2;14;Im Stillen 4 ;4 1/2;87509;Immenstadt i.Allgäu;;
Donaumoos Apotheke ;Ingolstädter Straße 12;IngolstädterStraße12;2;Ingolstädter Straße♥12;20;Ingolstädter Straße;12;86668;Karlshuld;;
Ritter Apotheke ;Züricher Straße 92;ZüricherStraße92;2;Züricher Straße♥92;16;Züricher Straße;92;81476;München;;
Apotheke am Willibaldplatz ;Willibaldplatz 5;Willibaldplatz5;1;Willibaldplatz♥5;15;Willibaldplatz;5;80687;München;;
Apotheke Via Claudia ;Via Claudia 4a;ViaClaudia4a;2;Via Claudia♥4a;12;Via Claudia;4a;86405;Meitingen ;;
Eulen Apotheke ;Münchner Straße 187;MünchnerStraße187;2;Münchner Straße♥187;16;Münchner Straße;187;85757;Karlsfeld;;
Alpha Apotheke OHG  ;Viktoriastraße 3;Viktoriastraße3;1;Viktoriastraße♥3;15;Viktoriastraße;3;86150;Augsburg ;;
Franken Apotheke Ostsee Center ;Langendorfer Berg 1;LangendorferBerg1;2;Langendorfer Berg♥1;18;Langendorfer Berg;1;18442;Stralsund-Langendorf;;
Apotheke im Real  ;Rostocker Straße 2;RostockerStraße2;2;Rostocker Straße♥2;17;Rostocker Straße;2;16928;Pritzwalk;;
Delphin Apotheke Löcknitz ;Chausseestraße 86a;Chausseestraße86a;1;Chausseestraße♥86a;15;Chausseestraße;86a;17321;Löcknitz ;;
Elbetal-Apotheken OHG - Sude Apotheke  P.Scholz & S. Scholz jr.;Bahnhofstraße 12a;Bahnhofstraße12a;1;Bahnhofstraße♥12a;14;Bahnhofstraße;12a;19258;Boizenburg;;
Apotheke im Gusanum ;Wismarsche Straße 132-134;WismarscheStraße132-134;2;Wismarsche Straße♥132-134;18;Wismarsche Straße;132-134;19053;Schwerin;;
Zentral Apotheke Im Ärztehaus  ;Graf-Schack-Allee 20;Graf-Schack-Allee20;1;Graf-Schack-Allee♥20;18;Graf-Schack-Allee;20;19053;Schwerin ;;
Ginkgo-Apotheke Werneuchen OHG;Freienwalder Straße 45;FreienwalderStraße45;2;Freienwalder Straße♥45;20;Freienwalder Straße;45;16356;Werneuchen;;
Brandenburger Tor Apotheke  ;Unter den Linden 69d;UnterdenLinden69d;3;Unter den Linden♥69d;17;Unter den Linden;69d;10117 ;Berlin ;;
Lessing Apotheke Wedding;Reininckendorfer Straße 12;ReininckendorferStraße12;2;Reininckendorfer Straße♥12;24;Reininckendorfer Straße;12;13357;Berlin;;
Apotheke Berlin Bahnhof Zoo ;Bahnhof Zoologischer Garten ;BahnhofZoologischerGarten;3;Bahnhof Zoologischer Garten♥;28;Bahnhof Zoologischer Garten;;10623;Berlin;;
Wannsee Apotheke Wannsee;Königstraße 18;Königstraße18;1;Königstraße♥18;12;Königstraße;18;14109;Berlin;;
Altstadt Apotheke ;Königstraße 56;Königstraße56;1;Königstraße♥56;12;Königstraße;56;15890;Eisenhüttenstadt;;
M-Apotheke City                 ;Heilbronner Straße 24;HeilbronnerStraße24;2;Heilbronner Straße♥24;19;Heilbronner Straße;24;15230     ;Frankfurt                                         ;;
easyApotheke im Victoria Center  Inh. Peter Lange e.K.;Marktstraße 6;Marktstraße6;1;Marktstraße♥6;12;Marktstraße;6;10317;Berlin;;
Neumann Apotheke                 -;Hönower Straße 16;HönowerStraße16;2;Hönower Straße♥16;15;Hönower Straße;16;12623   ;Berlin                                            ;;
Apotheke im KaDeWE ;Passauer Straße 38;PassauerStraße38;2;Passauer Straße♥38;16;Passauer Straße;38;10789;Berlin (Tempelhof-Schöneberg);;
Gutenberg-Apotheke ;Mittelstraße 23;Mittelstraße23;1;Mittelstraße♥23;13;Mittelstraße;23;06785;Oranienbaum-Wörlitz;;
Melanchthon-Apotheke ;Dessauer Straße 166;DessauerStraße166;2;Dessauer Straße♥166;16;Dessauer Straße;166;06886;Lutherstadt Wittenberg;;
Flamingo Apotheke Sandow ;Hermannstraße 17;Hermannstraße17;1;Hermannstraße♥17;14;Hermannstraße;17;03042;Cottbus ;;
Zehlendorf Apotheke             ;Teltower Damm 19;TeltowerDamm19;2;Teltower Damm♥19;14;Teltower Damm;19;14169     ;Berlin                                            ;;
Spitzweg Apotheke ;Fontanestraße 16b;Fontanestraße16b;1;Fontanestraße♥16b;14;Fontanestraße;16b;14943;Luckenwalde;;
Apotheke an der Priormühle      ;An der Priormühle 15;AnderPriormühle15;3;An der Priormühle♥15;18;An der Priormühle;15;03050     ;Cottbus                                           ;;
Apotheke Am Kupferberg ;Rostiger Weg 3b;RostigerWeg3b;2;Rostiger Weg♥3b;13;Rostiger Weg;3b;01558;Großenhain;;
Löwen-Apotheke Am Markt;Kirchplatz 2;Kirchplatz2;1;Kirchplatz♥2;11;Kirchplatz;2;01744;Dippoldiswalde;;
Anker-Apotheke ;Hauptstraße 80;Hauptstraße80;1;Hauptstraße♥80;12;Hauptstraße;80;01587;Riesa;;
McMedi Apotheke Bornaische Straße ;Bornaische Straße 23;BornaischeStraße23;2;Bornaische Straße♥23;18;Bornaische Straße;23;04277;Leipzig;;
Salinen-Apotheke ;Dahlienstraße 22;Dahlienstraße22;1;Dahlienstraße♥22;14;Dahlienstraße;22;04209;Leipzig;;
Adler Apotheke  ;Am Puschkinplatz 8;AmPuschkinplatz8;2;Am Puschkinplatz♥8;17;Am Puschkinplatz;8;07973;Greiz ;;
Park-Apotheke ;Auerbacher Straße 18b;AuerbacherStraße18b;2;Auerbacher Straße♥18b;18;Auerbacher Straße;18b;08228;Rodewisch;;
Versand City-Apotheke           ;Gewerbering 22;Gewerbering22;1;Gewerbering♥22;12;Gewerbering;22;08451     ;Crimmitschau                                      ;;
Grüne-Apotheke Nachf. Jane Michel e.K. ;Rodaerstraße 38;Rodaerstraße38;1;Rodaerstraße♥38;13;Rodaerstraße;38;07806;Neustadt an der Orla;;
